Date Time Depth Depth_Rate BE Pitch MM
2023-06-12 16:30:05 0.003531 0 518 6.081008 33
2023-06-12 16:30:06 0.02583 0.022299 517 5.646231 32
2023-06-12 16:30:07 0.055541 0.029711 512 4.980977 32
2023-06-12 16:30:08 0.081008 0.025467 515 4.485933 32
2023-06-12 16:30:09 0.10993 0.028922 513 3.915227 32
2023-06-12 16:30:10 0.139882 0.029952 512 3.291084 32
2023-06-12 16:30:11 0.171479 0.031597 515 2.52944 31
2023-06-12 16:30:12 0.202123 0.030644 513 1.974293 31
2023-06-12 16:30:13 0.231167 0.029044 515 1.450627 31
2023-06-12 16:30:14 0.260784 0.029617 515 0.845094 31
2023-06-12 16:30:15 0.287581 0.026797 517 0.33451 31
2023-06-12 16:30:16 0.31271 0.025129 518 -0.089112 30
2023-06-12 16:30:17 0.334871 0.022161 520 -0.462301 30
2023-06-12 16:30:18 0.359456 0.024585 521 -0.909755 30
2023-06-12 16:30:19 0.380093 0.020637 522 -1.255659 30
2023-06-12 16:30:20 0.401218 0.021125 522 -1.574954 30
2023-06-12 16:30:21 0.424194 0.022976 519 -2.042975 29
2023-06-12 16:30:22 0.444151 0.019957 522 -2.405797 29
2023-06-12 16:30:23 0.466221 0.02207 519 -2.774612 29
2023-06-12 16:30:24 0.488495 0.022274 519 -3.25861 29
2023-06-12 16:30:25 0.510279 0.021784 520 -3.664995 29
2023-06-12 16:30:26 0.52949 0.019211 520 -3.989405 28
2023-06-12 16:30:27 0.548071 0.018581 522 -4.333264 28
2023-06-12 16:30:28 0.56942 0.0213490000000001 521 -4.76972 28
2023-06-12 16:30:29 0.585978 0.016558 524 -5.060413 28
2023-06-12 16:30:30 0.60335 0.0173720000000001 525 -5.341565 28
2023-06-12 16:30:31 0.618839 0.015489 528 -5.681258 27
2023-06-12 16:30:32 0.635627 0.016788 532 -5.932087 27
2023-06-12 16:30:33 0.650988 0.015361 533 -6.160595 27
2023-06-12 16:30:34 0.665168 0.01418 537 -6.448021 27
2023-06-12 16:30:35 0.678126 0.012958 539 -6.639821 27
2023-06-12 16:30:36 0.691057 0.012931 543 -6.846078 26
2023-06-12 16:30:37 0.703566 0.012509 548 -7.100146 26
2023-06-12 16:30:38 0.72671 0.0231439999999999 546 -7.300489 26
2023-06-12 16:30:39 0.730074 0.00336400000000003 555 -7.477279 26
2023-06-12 16:30:40 0.742504 0.0124300000000001 559 -7.657608 26
2023-06-12 16:30:41 0.754782 0.0122779999999999 561 -7.830005 25
2023-06-12 16:30:42 0.769168 0.014386 567 -8.055216 25
2023-06-12 16:30:43 0.782044 0.012876 564 -8.212184 25
2023-06-12 16:30:44 0.797515 0.015471 566 -8.342313 25
2023-06-12 16:30:45 0.811006 0.013491 567 -8.473501 25
2023-06-12 16:30:46 0.82664 0.015634 567 -8.665025 24
2023-06-12 16:30:47 0.84334 0.0166999999999999 565 -8.807388 24
2023-06-12 16:30:48 0.859998 0.0166580000000001 567 -8.947588 24
2023-06-12 16:30:49 0.876973 0.016975 565 -9.104569 24
2023-06-12 16:30:50 0.897815 0.020842 564 -9.307405 24
2023-06-12 16:30:51 0.91823 0.020415 564 -9.487795 23
2023-06-12 16:30:52 0.940884 0.0226540000000001 562 -9.758805 23
2023-06-12 16:30:53 0.965024 0.0241399999999999 562 -9.899855 23
