Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depthrate_mm,depthrate_mm
0,1.70E+18,0.073699996,0.0027,0.055500001,0.980000019,-10.98999977,236.3999939,3.470449348,0.075786136,-0.298552954,-13.23750701,269.8427735,-0.087342668,-6.886526735,107.6101822,-1,0,0,0,20.54022026,2780,59.79999924,36.99000168,935.9000244,0.073749437,250.4979704,251,0,0,0,565,0.036277898,0,7.5786136,0
0.1,1.70E+18,0.073699996,0.0027,0.055500001,0.980000019,-10.98999977,236.3999939,3.474541326,0.073896617,-0.284738723,-13.18097048,269.7745736,-0.00534481,-6.886526612,107.6101832,-1,0,0,0,20.54022026,2780,59.79999924,36.99000168,935.9000244,0.073749437,250.4979704,251,0,0,0,565,0.036277898,0,7.3896617,-1.889519
0.2,1.70E+18,0.073699996,0.0027,0.055500001,0.980000019,-10.98999977,236.3999939,3.479655285,0.072955936,-0.274095174,-13.11614901,269.7032303,-0.063188592,-6.886526489,107.6101843,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.9000244,0.073749437,250.4979704,251,0,0,0,565,0.036277898,0,7.2955936,-0.940681
0.3,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.485791106,0.074238651,-0.261497334,-13.05203738,269.6315043,-0.042295207,-6.886526368,107.6101852,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.9000244,0.07491502,250.4979704,251,0,0,0,565,0.036277898,0,7.4238651,1.282715
0.4,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.492951412,0.073354647,-0.256973242,-12.98914299,269.5596962,-0.122227915,-6.886526244,107.6101863,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.9000244,0.07491502,250.4979704,251,0,0,0,557.5,0.036277898,-7.5,7.3354647,-0.884004
0.5,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.499088187,0.073111683,-0.248858438,-12.92132411,269.4855921,-0.080473625,-6.88652612,107.6101873,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.9000244,0.07491502,250.4979704,251,0,0,0,557.5,0.036277898,-7.5,7.3111683,-0.242964
0.6,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.50727119,0.073354192,-0.244427001,-12.84730453,269.4129913,-0.131668461,-6.886525995,107.6101884,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.2999878,0.07491502,250.4979704,251,0,0,0,557.5,0.036277898,-7.5,7.3354192,0.242509
0.7,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.517499108,0.075109042,-0.245527646,-12.81253063,269.3808732,-0.20821487,-6.886525934,107.6101889,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.2999878,0.07491502,250.4979704,251,0,0,0,557.5,0.036277898,-7.5,7.5109042,1.75485
0.8,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.51852109,0.070052795,-0.242596916,-12.69840435,269.2625143,-0.13497069,-6.886525746,107.6101905,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.2999878,0.07491502,250.4979704,251,0,0,0,557.5,0.036277898,-7.5,7.0052795,-5.056247
0.9,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.522613068,0.07132604,-0.237285512,-12.62057587,269.1842006,-0.109409583,-6.886525622,107.6101915,-1,0,0,0,20.52823067,2854,59.79999924,36.99000168,935.2999878,0.07491502,250.4979704,251,0,0,0,547.5,0.036277898,-10,7.132604,1.273245
1,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.531816502,0.072068565,-0.233068534,-12.53742653,269.1181602,-0.114274904,-6.886525558,107.6101921,-1,0,0,0,20.52823067,2854,59.79999924,37.00999832,935.2999878,0.07491502,250.4979704,251,0,0,0,547.5,0.036277898,-10,7.2068565,0.742525
1.1,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.539999504,0.071830958,-0.225360894,-12.45281395,269.0441927,-0.107228439,-6.886525372,107.6101937,-1,0,0,0,20.52823067,2854,59.79999924,37.00999832,935.2999878,0.07491502,250.4979704,251,0,0,0,547.5,0.036277898,-10,7.1830958,-0.237607
1.2,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.54613616,0.071679436,-0.220202273,-12.36969622,268.9707993,-0.110090586,-6.886525247,107.6101948,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2999878,0.07491502,250.4979704,251,0,0,0,547.5,0.036277898,-10,7.1679436,-0.151522
1.3,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.550227423,0.071429759,-0.216615152,-12.27536276,268.8994286,-0.092948946,-6.886525122,107.6101958,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2999878,0.071250619,250.4979704,251,0,0,0,547.5,0.036277898,-10,7.1429759,-0.249677
1.4,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.554318447,0.068659276,-0.205356387,-12.17735364,268.8321581,-0.044974309,-6.886524998,107.6101969,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2999878,0.071250619,250.4979704,251,0,0,0,540,0.036277898,-7.5,6.8659276,-2.770483
1.5,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.558410425,0.067736641,-0.197599457,-12.07933257,268.7664731,-0.028675942,-6.886524876,107.610198,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2999878,0.071250619,250.4979704,251,0,0,0,540,0.036277898,-7.5,6.7736641,-0.922635
1.6,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.569660206,0.067482747,-0.180991983,-11.98035649,268.7052982,0.028935074,-6.886524753,107.6101991,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2000122,0.071250619,250.4979704,251,0,0,0,540,0.036277898,-7.5,6.7482747,-0.253894
1.7,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.572727938,0.067428313,-0.157864711,-11.87828221,268.6460641,0.082160109,-6.88652463,107.6102002,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2000122,0.071250619,250.4979704,251,0,0,0,540,0.036277898,-7.5,6.7428313,-0.054434
1.8,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.578866024,0.067487217,-0.134402149,-11.77896104,268.5912582,0.107775612,-6.886524508,107.6102013,-1,0,0,0,20.5202713,2866,59.79999924,37.00999832,935.2000122,0.071250619,250.4979704,251,0,0,0,540,0.036277898,-7.5,6.7487217,0.058904
1.9,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.582955618,0.066104509,-0.109717598,-11.67648271,268.5397051,0.119527287,-6.886524387,107.6102024,-1,0,0,0,20.5202713,2866,59.81999969,36.99000168,935.2000122,0.071250619,250.4979704,251,0,0,0,530,0.036277898,-10,6.6104509,-1.382708
2,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.590116043,0.06681972,-0.083810757,-11.57192098,268.4910768,0.162641061,-6.886524266,107.6102036,-1,0,0,0,20.5202713,2866,59.81999969,36.99000168,935.2000122,0.071250619,250.4979704,251,0,0,0,530,0.036277898,-10,6.681972,0.715211
2.1,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.597275515,0.069265023,-0.057667687,-11.46829973,268.4469041,0.133807621,-6.886524205,107.6102041,-1,0,0,0,20.5202713,2866,59.81999969,36.99000168,935.2000122,0.071250619,250.4979704,251,0,0,0,530,0.036277898,-10,6.9265023,2.445303
2.2,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.597275515,0.066246696,-0.02154657,-11.36188864,268.4046174,0.284267201,-6.886524085,107.6102053,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071250619,250.4979704,251,0,0,0,530,0.036277898,-10,6.6246696,-3.018327
2.3,1.70E+18,0.071400002,0.0001,0.036900003,1.340000033,-9.600000381,234.6000061,3.605457802,0.066246696,-0.009251238,-11.30769008,268.3892554,0.154573212,-6.886523964,107.6102064,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071400072,250.4979704,251,0,0,0,530,0.036277898,-10,6.6246696,0
2.4,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.613639135,0.067838095,0.048780711,-11.14070207,268.3275612,0.25415847,-6.886523784,107.6102081,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.7838095,1.591399
2.5,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.612617273,0.063552767,0.087862686,-11.02333919,268.2910968,0.275663311,-6.886523665,107.6102093,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,935.2000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.3552767,-4.285328
2.6,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.620799561,0.062620327,0.129001187,-10.90714914,268.2646369,0.333600867,-6.886523605,107.6102098,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.2620327,-0.93244
2.7,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.632050056,0.068209738,0.174044213,-10.79700261,268.2323,0.376305943,-6.886523427,107.6102115,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.8209738,5.589411
2.8,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.630005379,0.064278618,0.210909852,-10.6804555,268.2046374,0.333176914,-6.886523369,107.6102121,-1,0,0,0,20.51632118,2906,59.81999969,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,522.5,0.036277898,-7.5,6.4278618,-3.93112
2.9,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.642277975,0.066935167,0.246035659,-10.56711765,268.1825237,0.297139055,-6.886523193,107.6102139,-1,0,0,0,20.51632118,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,-10,6.6935167,2.656549
