Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,be_rate,depth_rate,mm_rate,pitch
0,0.079700001,0.018999999,-0.0027,4.869999886,6.829999924,356.1000061,-0.043837647,-0.009281799,4.462615367,3.885643592,347.167012,-0.085379494,-6.886690017,107.610692,0,-2.326654912,1.37548384,0.075726244,21.23051071,1674,61.40000153,35.29999924,-1.9921875,0.081933449,159.8616175,159,0,0,0,192.5,0.12102133,0,-9.281799,0,3.885643592
1,-0.0071,0.0147,-0.0328,4.900000095,7.880000114,356.7000122,-0.059179406,-0.007774559,4.321942474,4.90169939,347.4551462,-0.011031908,-6.886690426,107.6106929,0,-2.221467362,1.847457272,0.043794352,21.22650146,1674,61.40000153,35.29999924,-2.48046875,0.016324828,159.8616175,159,0,0,0,192.5,0.118301541,0,-7.774559,0,4.90169939
2,0.0037,0.072999999,-0.0144,4.71999979,9.239999771,8.5,-0.080657821,-0.008813539,4.290549524,6.058601485,347.7763279,-0.054093306,-6.886687512,107.6106964,0,-2.032249922,2.284319645,0.055507291,21.23447037,1646,61.40000153,35.29999924,-2.578125,0.073093706,159.8616175,159,0,0,0,195,0.105656542,2.5,-8.813539,0,6.058601485
3,0.0033,-0.0044,-0.0239,4.849999905,10.17000008,9.300000191,-0.093954067,-0.008136201,4.265078788,6.587334072,348.0174466,0.062668907,-6.886685565,107.6106998,-1,-1.9653127,2.705443411,0.054632609,21.23455048,1700,61.40000153,35.29999924,-2.28515625,0.0055,159.8616175,159,0,0,0,200,0.075238585,5,-8.136201,0,6.587334072
4,-0.064099997,0.0139,0.0032,4.610000134,10.36999989,10.5,-0.087817292,-0.001738569,4.100235689,5.614024059,348.3263277,-0.52773418,-6.886682842,107.6107032,-1,-1.751623066,3.283035856,0.091671484,21.19524193,2126,61.40000153,35.29999924,-2.96875,0.065589783,162.9333718,162,0,0,0,205,0.300000012,5,-1.738569,3,5.614024059
5,-0.0239,0.0495,0.0147,4.090000153,9.140000343,10.89999962,-0.074521165,0.001280332,3.32403024,4.582598094,350.2501105,-0.740038765,-6.886679314,107.6107065,-1,-1.94301353,3.274043228,0.066970076,21.05373001,3926,61.40000153,35.29999924,-2.7734375,0.054967809,167.0362732,167,0,0,0,217.5,0.300000012,12.5,1.280332,5,4.582598094
6,-0.0132,0.090099998,0.022399999,3.630000114,7.769999981,11.5,-0.064293246,0.003480271,3.563508795,3.79991968,353.3560607,0.671764533,-6.886675048,107.6107097,-1,-2.164393333,3.2910824,-0.00128733,21.09717178,3506,61.40000153,35.29999924,-1.6015625,0.09106179,168.442261,168,0,0,0,235,0.203062788,17.5,3.480271,1,3.79991968
7,-0.0207,0.127199993,-0.0054,4.429999828,7.539999962,12.60000038,-0.054065447,0.005288744,4.60892389,3.364103212,356.6373078,0.477760312,-6.886671355,107.6107117,0,-2.407447122,3.258658425,0.047069986,21.10111046,3380,61.40000153,35.29999924,-2.48046875,0.128873303,166.222943,167,0,0,0,255,0.009543115,20,5.288744,-1,3.364103212
8,0.129500002,0.103599995,0.022500001,5.320000172,6.809999943,14.19999981,-0.038723688,0.009077825,4.469862884,2.955621998,359.4251651,-0.578265524,-6.886667955,107.6107163,0,-2.652449891,3.288547394,0.020801622,21.09311104,3500,61.40000153,35.29999924,-2.3828125,0.165840916,164.9564737,165,0,0,0,272.5,0.05780511,17.5,9.077825,-2,2.955621998
9,0.061099999,0.057500001,0.0151,4.880000114,6.840000153,14.5,-0.027473073,0.008231876,3.981921656,2.495829443,1.489869835,-0.284131596,-6.886666548,107.6107201,0,-1.920177506,4.120595732,0.017887367,21.09311104,3452,61.40000153,35.29999924,-2.08984375,0.08390149,163.3738871,164,0,0,0,290,-0.143408939,17.5,8.231876,-1,2.495829443
