Time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,depth_rate,be_rate,mm_rate,pitch
0,-0.042599998,0.0051,0.010100001,4.849999905,7.130000114,343.7999878,-0.138956528,0.002539604,4.427745796,4.056935098,0.863999105,-0.081027604,-6.886671424,107.6107285,-1,-0.305901287,9.40337589,-0.056838615,21.23048973,1606,61.40000153,35.20000076,-1.6015625,0.042904194,114.6305586,114,0,0,0,142.5,-0.045747604,2.539604,0,0,4.056935098
1,-0.085000001,-0.0089,0.019100001,5.039999962,7.269999981,343.7999878,-0.143047671,-0.002232646,4.442806314,3.925272376,0.898632701,0.119076079,-6.886671506,107.6107279,-1,-0.185267838,9.496568197,-0.004313632,21.09709167,3326,61.40000153,35.20000076,-2.578125,0.085464672,111.6941134,112,0,0,0,147.5,-0.044751056,-2.232646,5,-2,3.925272376
2,-0.083300002,-0.0057,-0.0042,5.300000191,7.429999828,7.599999905,-0.142024975,-0.004987403,4.558541071,3.610443395,0.999492089,-0.106308746,-6.886671015,107.6107314,0,-0.24683293,9.506102311,0.000391889,21.10083008,3320,61.40000153,35.20000076,-2.08984375,0.083494792,108.4593899,109,0,0,0,165,-0.049763985,-4.987403,17.5,-3,3.610443395
3,0.0091,0.0025,0.0093,4.980000019,7.070000172,7.300000191,-0.144070487,-0.002979267,4.724896543,3.358262787,1.100920805,0.133808542,-6.886670138,107.6107319,0,-0.267448128,9.464683104,-0.051507654,21.08128929,3426,61.29999924,35.10000229,-1.2109375,0.009437161,106.6401813,107,0,0,0,182.5,-0.061559249,-2.979267,17.5,-2,3.358262787
4,-0.016000001,0.0023,0.004,5.039999962,7.130000114,7.400000095,-0.138956528,-0.000732088,4.759361647,3.213412395,1.173007842,-0.112964657,-6.886669662,107.6107303,0,0.060509092,0.096677397,-0.054829438,21.08919144,3440,61.29999924,35.10000229,-1.30859375,0.016164468,104.3487215,105,0,0,0,200,-0.060132664,-0.732088,17.5,-2,3.213412395
5,-0.112999998,0.008,-0.023600001,5.440000057,6.429999828,7.800000191,-0.136911016,0.00311246,4.673618515,3.270896235,1.201031053,-0.158450657,-6.886669289,107.6107289,0,0.109674861,-0.055773869,-0.084539172,21.09709167,3452,61.29999924,35.10000229,-1.69921875,0.11328283,100.3953929,101,0,0,0,217.5,-0.045146003,3.11246,17.5,-4,3.270896235
6,0.0049,-0.0099,-0.0011,4.849999905,6.309999943,7.400000095,-0.141002159,0.000128532,4.49963754,3.222050133,1.278897439,-0.242216714,-6.886668801,107.6107275,0,0.150948528,-0.24568336,-0.064079489,21.09704018,3274,61.40000153,35.20000076,-2.48046875,0.011046266,96.39742895,97,0,0,0,235,-0.049148276,0.128532,17.5,-4,3.222050133
7,-0.0165,0.0039,0.0062,5.010000229,6.320000172,7.5,-0.121569257,0.006270257,4.407223053,2.926873458,1.300351587,-0.091253153,-6.886668383,107.6107265,0,0.203425461,-0.395832901,-0.065902889,21.08099937,3286,61.40000153,35.20000076,-1.796875,0.016954645,94.19376908,95,0,0,0,255,-0.053349569,6.270257,20,-2,2.926873458
8,-0.050999999,-0.0013,0.009699999,4.940000057,6.179999828,7.400000095,-0.110318642,0.007239719,4.396696237,2.227765502,1.200131467,-0.030931492,-6.886667989,107.6107255,0,0.275595997,-0.534903303,-0.046635232,21.1009407,3274,61.40000153,35.20000076,-1.11328125,0.051016565,95.32301725,95,0,0,0,272.5,-0.038197801,7.239719,17.5,0,2.227765502
9,0.0083,0.046700001,0.021799998,4.670000076,5.800000191,7.599999905,-0.081680636,0.012471803,4.341593072,1.008426023,1.160858033,-0.049787531,-6.886667298,107.6107244,0,0.301547468,-0.646485874,-0.052063263,21.07346153,3480,61.40000153,35.20000076,-2.08984375,0.047431847,101.2868595,101,0,0,0,292.5,-0.055239223,12.471803,20,6,1.008426023
10,0.031200001,-0.0053,0.037500001,4.670000076,4.550000191,7.699999809,-0.048951488,0.018750343,4.354528323,-0.512857743,1.133569439,-0.028909825,-6.886666664,107.6107233,0,0.372854125,-0.771329333,-0.037826045,21.06918144,3626,61.40000153,35.20000076,-1.6015625,0.03164696,110.2792876,110,0,0,0,312.5,-0.048580356,18.750343,20,9,-0.512857743
11,0.0061,-0.0068,0.048299998,5.159999847,2.819999933,7.400000095,-0.005994539,0.024449166,4.29046752,-2.066962801,1.002070939,-0.150449823,-6.886665976,107.6107225,1,0.442459058,-0.876377733,-0.076391507,21.08114052,3426,61.40000153,35.20000076,-2.578125,0.009135097,120.3095804,120,0,0,0,330,-0.050553117,24.449166,17.5,10,-2.066962801
12,0.0069,-0.0031,0.0568,4.760000229,-0.100000001,7.300000191,0.032871265,0.027166145,4.114288671,-3.688518741,0.889150046,-0.275778442,-6.886665393,107.6107217,1,0.536235373,-0.999672708,-0.063919402,21.09696007,3294,61.40000153,35.20000076,-2.7734375,0.00756439,131.372764,131,0,0,0,350,-0.041267443,27.166145,20,11,-3.688518741
