Time,%time,field.velocity_x,field.velocity_y,field.velocity_z,field.dvl_roll,field.dvl_pitch,field.dvl_yaw,field.depth_data,field.depth_rate,field.roll_data,field.pitch_data,field.yaw_data,field.yaw_rate_data,field.lat,field.long,field.gps_status,field.navigasi_north,field.navigasi_east,field.navigasi_depth,field.voltage,field.current,field.humidity,field.temperature,field.pressure,field.surge,field.des_mm,field.cur_mm,field.roll_sp,field.servo_position,field.yaw_sp,field.internal_volume,field.bow_percentage,Unnamed: 33,be_rate,depth_rate,mm_rate,pitch
0,1.70E+18,0.073699996,0.0027,0.055500001,0.980000019,-10.98999977,236.3999939,3.470449348,0.075786136,-0.298552954,-13.23750701,269.8427735,-0.087342668,-6.886526735,107.6101822,-1,0,0,0,20.54022026,2780,59.79999924,36.99000168,935.9000244,0.073749437,250.4979704,251,0,0,0,565,0.036277898,229888,0,75.786136,0,-13.23750701
1,1.70E+18,0.074900001,-0.0015,0.049200002,1.629999995,-10.55000019,236,3.531816502,0.072068565,-0.233068534,-12.53742653,269.1181602,-0.114274904,-6.886525558,107.6101921,-1,0,0,0,20.52823067,2854,59.79999924,37.00999832,935.2999878,0.07491502,250.4979704,251,0,0,0,547.5,0.036277898,11264,-17.5,72.068565,0,-12.53742653
2,1.70E+18,0.070300005,-0.011600001,0.046,1.340000033,-9.600000381,234.6000061,3.590116043,0.06681972,-0.083810757,-11.57192098,268.4910768,0.162641061,-6.886524266,107.6102036,-1,0,0,0,20.5202713,2866,59.81999969,36.99000168,935.2000122,0.071250619,250.4979704,251,0,0,0,530,0.036277898,29184,-17.5,66.81972,0,-11.57192098
3,1.70E+18,0.071400002,0.0001,0.036900003,1.309999943,-8.739999771,233.5,3.639208813,0.061096001,0.280752034,-10.45801922,268.1645375,0.333313801,-6.886523077,107.6102151,-1,0,0,0,20.51632118,2906,59.77999878,36.99000168,934.7000122,0.071400072,250.4979704,251,0,0,0,512.5,0.036277898,44317184,-17.5,61.096001,0,-10.45801922
4,1.70E+18,0.071800001,0.0009,0.035299998,1.860000014,-7.559999943,232.6999969,3.688303251,0.057691827,0.488198505,-9.290966164,268.1668883,0.058008189,-6.886521952,107.6102271,-1,0,0,0,20.51641083,2906,59.77999878,37.00999832,934.5,0.071805641,250.4979704,251,0,0,0,495,0.036277898,101978880,-17.5,57.691827,0,-9.290966164
5,1.70E+18,0.061900001,-0.0035,0.030200001,2.220000029,-6.239999771,231.8999939,3.729214687,0.054951198,0.503849226,-8.148253723,268.4376103,0.041690819,-6.88652086,107.6102397,-1,0,0,0,20.5283699,2900,59.75999832,37.00999832,934.2000122,0.061998872,250.4979704,251,0,0,0,477.5,0.036277898,100159232,-17.5,54.951198,0,-8.148253723
6,1.70E+18,0.054900002,-0.01,0.027100001,2.039999962,-5.150000095,283.7000122,3.769103308,0.051680345,0.451425868,-7.047652819,268.8436113,-0.073997156,-6.88651975,107.6102526,-1,0,0,0,20.65390015,1254,59.72999954,37.00999832,934.4000244,0.055803317,250.4979704,251,0,0,0,475,0.036277898,99768320,-2.5,51.680345,0,-7.047652819
7,1.70E+18,0.0515,-0.0023,0.029999999,1.940000057,-4.039999962,230.3999939,3.806946297,0.048159774,0.25978828,-6.015589615,269.1802918,-0.183990863,-6.886518622,107.610266,-1,0,0,0,20.5362606,2846,59.72999954,37.00999832,933.9000244,0.051551334,250.4979704,251,0,0,0,457.5,0.036277898,100180480,-17.5,48.159774,0,-6.015589615
8,1.70E+18,0.0504,-0.0039,0.0275,1.730000019,-2.980000019,229.6000061,3.846834917,0.047425058,0.145898223,-5.045338943,269.4608543,0.032891115,-6.886517483,107.61028,-1,0,0,0,20.52828026,2846,59.70999908,37.00999832,933.5,0.050550668,250.4979704,251,0,0,0,440,0.036277898,102333440,-17.5,47.425058,0,-5.045338943
9,1.70E+18,0.048799999,-0.0023,0.025799999,1.330000043,-2.049999952,228.8999939,3.877518435,0.043738794,0.194537326,-4.067534522,269.6984741,0.127401832,-6.886516343,107.6102945,-1,0,0,0,20.51252174,2906,59.72000122,37.00999832,933,0.04885417,250.4979704,251,0,0,0,422.5,0.036277898,98190592,-17.5,43.738794,0,-4.067534522
10,1.70E+18,0.043400001,-0.0077,0.023799999,1.639999986,-1.129999995,283.2999878,3.907179136,0.038671408,0.313639792,-3.090202476,269.9370779,0.062135869,-6.886515192,107.6103094,-1,0,0,0,20.65790939,1234,59.72000122,37.02000046,933.0999756,0.044077773,250.4979704,251,0,0,0,415,0.036277898,100029184,-7.5,38.671408,0,-3.090202476
11,1.70E+18,0.046700001,-0.0088,0.0219,1.690000057,-0.100000001,228,3.930702467,0.034191355,0.396054935,-2.145032167,270.1588436,-0.007129594,-6.886514055,107.6103247,-1,0,0,0,20.52420044,2826,59.70999908,37.02000046,932.9000244,0.04752189,250.4979704,251,0,0,0,400,0.036277898,98070528,-15,34.191355,0,-2.145032167
12,1.70E+18,0.0396,-0.0069,0.0208,1.730000019,0.819999993,227.5,3.954227228,0.031671766,0.222686026,-1.219868553,270.4037344,-0.255766488,-6.886512929,107.6103404,-1,0,0,0,20.52418137,2846,59.70000076,37.02000046,932.5,0.040196641,250.4979704,251,0,0,0,390,0.036277898,99764992,-10,31.671766,0,-1.219868553
13,1.70E+18,0.038400002,-0.012800001,0.0187,1.590000033,1.769999981,227,3.982866068,0.031216042,-0.031135954,-0.292673449,270.5700382,-0.200996156,-6.886511813,107.6103565,-1,0,0,0,20.51670074,3120,59.66999817,37.04000092,932.5999756,0.040477156,250.4979704,251,0,0,0,377.5,0.036277898,100048640,-12.5,31.216042,0,-0.292673449
14,1.70E+18,0.033500001,-0.0133,0.015699999,1.299999952,2.730000019,283.7999878,4.002297421,0.032277346,-0.086810624,0.666500218,270.6640693,0.015860933,-6.88651072,107.610373,-1,0,0,0,20.6539402,1214,59.68999863,37.02000046,932.2000122,0.036043585,250.4979704,251,0,0,0,375,0.036277898,99929600,-2.5,32.277346,0,0.666500218
15,1.70E+18,0.034000002,-0.0068,0.015699999,1.350000024,3.779999971,225.8000031,4.018663425,0.026175095,-0.096918745,1.596916028,270.7159777,-0.093136665,-6.886509684,107.6103898,-1,0,0,0,20.52449036,2840,59.63999939,37.02000046,932.0999756,0.034673335,250.4979704,251,0,0,0,365,0.036277898,100082176,-10,26.175095,0,1.596916028
16,1.70E+18,0.031200001,-0.0137,0.0137,1.279999971,4.690000057,225.1999969,4.032980938,0.025794834,-0.173296048,2.505241733,270.6675135,-0.089166593,-6.886508725,107.610407,-1,0,0,0,20.50476265,3166,59.63999939,37.02000046,931.7000122,0.034075359,250.4979704,251,0,0,0,352.5,0.036277898,99637760,-12.5,25.794834,0,2.505241733
