0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate
1,50,44,-0.121818,6.571222,0,0,0
2,50,44,-0.121208,6.539189,0.00061,0.61,0
3,50,44,-0.121596,6.559528,-0.000388,-0.388,0
4,50,44,-0.120841,6.572378,0.000755,0.755,0
5,50,44,-0.12456,6.66257,-0.003719,-3.719,0
6,57,43,-0.124349,6.756439,0.000211,0.211,7
7,62,43,-0.12699,6.842591,-0.002641,-2.641,5
8,67,43,-0.128542,6.924058,-0.001552,-1.552,5
9,70,43,-0.128131,7.007493,0.000411,0.411,3
10,64,43,-0.113937,6.210348,0.014194,14.194,-6
11,67,42,-0.105736,5.885421,0.008201,8.201,3
12,75,42,-0.106066,5.850275,-0.00033,-0.33,8
13,79,42,-0.104009,5.794924,0.002057,2.057,4
14,85,42,-0.102984,5.74122,0.001025,1.025,6
15,92,42,-0.104824,5.732881,-0.00184,-1.84,7
16,97,41,-0.103631,5.722776,0.001193,1.193,5
17,102,41,-0.104611,5.774077,-0.00098,-0.98,5
18,107,41,-0.106444,5.817722,-0.001833,-1.833,5
19,112,41,-0.10712,5.905522,-0.000676,-0.676,5
20,117,41,-0.107561,5.981018,-0.000441,-0.441,5
21,122,40,-0.132466,7.340199,-0.024905,-24.905,5
22,127,40,-0.140371,7.755759,-0.007905,-7.905,5
23,132,40,-0.137829,7.727285,0.002542,2.542,5
24,137,40,-0.13566,7.613227,0.002169,2.169,5
25,122,40,-0.133209,7.484349,0.002451,2.451,-15
26,125,39,-0.129688,7.351871,0.003521,3.521,3
27,135,39,-0.128649,7.297295,0.001039,1.039,10
28,142,39,-0.12651,7.184898,0.002139,2.139,7
29,147,39,-0.124799,7.147558,0.001711,1.711,5
30,152,39,-0.124402,7.074233,0.000397,0.397,5
31,157,38,-0.123818,7.096048,0.000584,0.584,5
32,162,38,-0.122399,7.021544,0.001419,1.419,5
33,167,38,-0.122769,7.040979,-0.00037,-0.37,5
34,171,38,-0.119927,6.996787,0.002842,2.842,4
35,176,38,-0.117861,6.993322,0.002066,2.066,5
36,182,37,-0.115635,6.928924,0.002226,2.226,6
37,180,37,-0.108754,6.777732,0.006881,6.881,-2
38,183,37,-0.102259,6.646809,0.006495,6.495,3
39,184,37,-0.09493,6.524621,0.007329,7.329,1
40,186,37,-0.090235,6.435711,0.004695,4.695,2
41,192,36,-0.087581,6.312243,0.002654,2.654,6
42,196,36,-0.080799,6.255527,0.006782,6.782,4
43,202,36,-0.076964,6.159375,0.003835,3.835,6
44,207,36,-0.07382,6.099417,0.003144,3.144,5
45,210,36,-0.069568,6.033767,0.004252,4.252,3
46,217,35,-0.066082,5.955897,0.003486,3.486,7
47,222,35,-0.062762,5.886751,0.00332,3.32,5
48,224,35,-0.05702,5.795507,0.005742,5.742,2
49,228,35,-0.051193,5.647443,0.005827,5.827,4
50,225,35,-0.039035,5.42976,0.012158,12.158,-3
51,225,34,-0.027216,5.229846,0.011819,11.819,0
52,221,34,-0.009864,4.845225,0.017352,17.352,-4
53,225,34,0.003166,4.634502,0.01303,13.03,4
54,220,34,0.026056,4.065351,0.02289,22.89,-5
55,217,34,0.047574,3.672644,0.021518,21.518,-3
