0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_rate_filtered,Depth_acc_filtered,
1,362,44,-0.144121,8.11091,0,0,0,0,0,0,0,0.03
2,362,44,-0.144121,8.11091,0,0,0,0,0,0,0,
3,362,44,-0.128458,7.812962,0.015663,15.663,0,15.663,0.46989,0.46989,0.46989,
4,367,44,-0.134186,8.009078,-0.005728,-5.728,5,-21.391,0.2839533,0.2839533,-0.1859367,
5,352,44,-0.153095,8.478232,-0.018909,-18.909,-15,-13.181,-0.291835299,-0.291835299,-0.575788599,
6,365,44,-0.173342,9.018493,-0.020247,-20.247,13,-1.338,-0.89049024,-0.89049024,-0.598654941,
7,372,43,-0.173115,8.848264,0.000227,0.227,7,20.474,-0.856965533,-0.856965533,0.033524707,
8,359,43,-0.156422,8.442764,0.016693,16.693,-13,16.466,-0.330466567,-0.330466567,0.526498966,
9,352,43,-0.149799,8.093985,0.006623,6.623,-7,-10.07,-0.12186257,-0.12186257,0.208603997,
10,345,43,-0.139388,8.125013,0.010411,10.411,-7,3.788,0.194123307,0.194123307,0.315985877,
11,350,43,-0.151075,8.424458,-0.011687,-11.687,5,-22.098,-0.162310392,-0.162310392,-0.356433699,
12,357,42,-0.157371,8.756274,-0.006296,-6.296,7,5.391,-0.34632108,-0.34632108,-0.184010688,
13,361,42,-0.167119,8.743021,-0.009748,-9.748,4,-3.452,-0.628371448,-0.628371448,-0.282050368,
14,367,42,-0.158349,8.438917,0.00877,8.77,6,18.518,-0.346420304,-0.346420304,0.281951143,
15,365,42,-0.152548,8.13341,0.005801,5.801,-2,-2.969,-0.161997695,-0.161997695,0.184422609,
16,364,42,-0.143141,8.11199,0.009407,9.407,-1,3.606,0.125072236,0.125072236,0.287069931,
17,370,41,-0.150228,8.327188,-0.007087,-7.087,6,-16.494,-0.091289931,-0.091289931,-0.216362167,
18,377,41,-0.160417,8.600552,-0.010189,-10.189,7,-3.102,-0.394221234,-0.394221234,-0.302931302,
19,382,41,-0.161933,8.68051,-0.001516,-1.516,5,8.673,-0.427874596,-0.427874596,-0.033653363,
20,387,41,-0.15816,8.481648,0.003773,3.773,5,5.289,-0.301848359,-0.301848359,0.126026238,
21,386,41,-0.149667,8.350316,0.008493,8.493,-1,4.72,-0.038002908,-0.038002908,0.263845451,
22,386,40,-0.147044,8.264807,0.002623,2.623,0,-5.87,0.041827179,0.041827179,0.079830087,
23,392,40,-0.150253,8.43383,-0.003209,-3.209,6,-5.832,-0.055697636,-0.055697636,-0.097524815,
24,397,40,-0.159182,8.588169,-0.008929,-8.929,5,-5.72,-0.321896707,-0.321896707,-0.266199071,
25,402,40,-0.160184,8.640988,-0.001002,-1.002,5,7.927,-0.342299806,-0.342299806,-0.020403099,
26,407,40,-0.157073,8.458279,0.003111,3.111,5,4.113,-0.238700812,-0.238700812,0.103598994,
27,412,39,-0.156029,8.272663,0.001044,1.044,5,-2.067,-0.200219787,-0.200219787,0.038481024,
28,409,39,-0.147789,8.251426,0.00824,8.24,-3,7.196,0.052986806,0.052986806,0.253206594,
