0,BE,MM,Depth,Pitch
1,340,49,0.396000,-2.283643
2,350,48,0.396000,-2.280169
3,350,47,0.396000,-2.253060
4,350,46,0.396000,-2.300616
5,360,45,0.396000,-2.300616
6,350,44,0.398000,-2.320003
7,360,43,0.399000,-2.356742
8,370,42,0.398000,-2.446611
9,370,41,0.398000,-2.476054
10,380,40,0.399000,-2.568892
11,380,39,0.399000,-2.605982
12,380,38,0.401000,-2.640338
13,390,37,0.401000,-2.676384
14,380,36,0.406000,-2.751951
15,390,35,0.410000,-2.800826
16,400,34,0.410000,-2.882999
17,390,33,0.415000,-2.984056
18,400,32,0.415000,-3.031607
19,390,31,0.422000,-3.281426
20,380,30,0.434000,-3.500729
21,390,29,0.446000,-3.720312
22,400,28,0.446000,-3.720312
23,390,27,0.463000,-4.342337
24,400,26,0.463000,-4.662570
25,390,25,0.483000,-5.078133
26,380,24,0.505000,-5.634690
27,390,23,0.505000,-6.083973
28,380,22,0.530000,-6.565423
29,390,21,0.530000,-6.766831
30,380,20,0.557000,-7.644556
31,390,20,0.585000,-8.144602
32,380,20,0.585000,-8.377624
33,370,20,0.614000,-8.952820
34,380,20,0.614000,-9.413664
35,370,20,0.642000,-10.025871
36,380,20,0.642000,-10.539562
37,370,20,0.672000,-10.999899
38,380,20,0.701000,-11.577977
39,390,20,0.701000,-12.070133
40,380,20,0.728000,-12.682965
41,370,20,0.758000,-13.225553
42,380,20,0.758000,-13.727548
43,370,20,0.787000,-14.232640
44,380,20,0.814000,-14.499285
45,390,20,0.814000,-15.195912
46,380,20,0.841000,-15.692740
47,390,20,0.841000,-15.950206
48,380,20,0.866000,-16.608364
49,390,20,0.866000,-16.860762
50,380,21,0.888000,-17.338875
51,371,22,0.911000,-17.719879
52,381,23,0.911000,-18.094460
53,371,24,0.933000,-18.516808
54,381,25,0.951000,-18.813675
55,391,26,0.951000,-19.121784
56,381,27,0.970000,-19.425430
57,391,28,0.970000,-19.724178
58,381,29,0.986000,-19.974949
59,391,30,1.000000,-20.259172
60,401,31,1.000000,-20.516504
61,391,32,1.014000,-20.769854
62,401,33,1.014000,-21.020327
63,391,34,1.024000,-21.209106
64,387,35,1.035000,-21.329494
65,397,36,1.035000,-21.621689
66,387,37,1.042000,-21.759491
67,397,38,1.042000,-21.901169
