0,BE,MM,Depth,Pitch,Depth_rate,Depth_rate_mm,BE_rate,Depth_acc_mm,Depth_rate_mm_filtered,Depth_acc_filtered,,
1,362,44,-0.163796,8.831425,0,0,0,0,0,0,,0.03
2,362,44,-0.163796,8.831425,0,0,0,0,0,0,,
3,367,44,-0.164651,8.823792,-0.000855,-0.855,5,-0.855,-0.02565,-0.02565,,
4,372,44,-0.163478,8.814655,0.001173,1.173,5,2.028,0.0103095,0.0359595,,
5,357,44,-0.164211,8.800579,-0.000733,-0.733,-15,-1.906,-0.011989785,-0.022299285,,
6,360,44,-0.163775,8.827524,0.000436,0.436,3,1.169,0.001449909,0.013439694,,
7,360,43,-0.164835,8.833483,-0.00106,-1.06,0,-1.496,-0.030393589,-0.031843497,,
8,360,43,-0.162434,8.812331,0.002401,2.401,0,3.461,0.042548219,0.072941808,,
9,360,43,-0.163054,8.792309,-0.00062,-0.62,0,-3.021,0.022671772,-0.019876447,,
10,360,43,-0.162419,8.758805,0.000635,0.635,0,1.255,0.041041619,0.018369847,,
11,359,43,-0.161523,8.711581,0.000896,0.896,-1,0.261,0.066690371,0.025648751,,
12,360,42,-0.160028,8.685473,0.001495,1.495,1,0.599,0.10953966,0.042849289,,
13,360,42,-0.159688,8.667555,0.00034,0.34,0,-1.155,0.11645347,0.00691381,,
14,360,42,-0.160713,8.66889,-0.001025,-1.025,0,-1.365,0.082209866,-0.034243604,,
15,360,42,-0.159432,8.654059,0.001281,1.281,0,2.306,0.11817357,0.035963704,,
16,361,42,-0.160594,8.662626,-0.001162,-1.162,1,-2.443,0.079768363,-0.038405207,,
17,359,41,-0.15845,8.655004,0.002144,2.144,-2,3.306,0.141695312,0.061926949,,
18,360,41,-0.159816,8.674292,-0.001366,-1.366,1,-3.51,0.096464452,-0.045230859,,
19,360,41,-0.158693,8.667807,0.001123,1.123,0,2.489,0.127260519,0.030796066,,
20,360,41,-0.158447,8.654874,0.000246,0.246,0,-0.877,0.130822703,0.003562184,,
21,360,41,-0.158071,8.635027,0.000376,0.376,0,0.13,0.138178022,0.007355319,,
22,360,40,-0.158625,8.611549,-0.000554,-0.554,0,-0.93,0.117412681,-0.020765341,,
23,360,40,-0.157462,8.602941,0.001163,1.163,0,1.717,0.148780301,0.03136762,,
24,370,40,-0.159283,8.593496,-0.001821,-1.821,10,-2.984,0.089686892,-0.059093409,,
25,377,40,-0.158087,8.583182,0.001196,1.196,7,3.017,0.122876285,0.033189393,,
26,382,40,-0.157593,8.557144,0.000494,0.494,5,-0.702,0.134009997,0.011133711,,
27,387,39,-0.157975,8.577258,-0.000382,-0.382,5,-0.876,0.118529697,-0.0154803,,
28,392,39,-0.157705,8.615744,0.00027,0.27,5,0.652,0.123073806,0.004544109,,
29,397,39,-0.157729,8.669719,-2.40E-05,-0.024,5,-0.294,0.118661592,-0.004412214,,
30,402,39,-0.159614,8.716364,-0.001885,-1.885,5,-1.861,0.058551744,-0.060109848,,
31,407,39,-0.159797,8.726055,-0.000183,-0.183,5,1.702,0.051305192,-0.007246552,,
32,412,38,-0.158033,8.738464,0.001764,1.764,5,1.947,0.102686036,0.051380844,,
33,417,38,-0.158104,8.742196,-7.10E-05,-0.071,5,-1.835,0.097475455,-0.005210581,,
34,422,38,-0.157073,8.740605,0.001031,1.031,5,1.102,0.125481191,0.028005736,,
35,427,38,-0.156463,8.761137,0.00061,0.61,5,-0.421,0.140016755,0.014535564,,
36,432,38,-0.156336,8.754467,0.000127,0.127,5,-0.483,0.139626253,-0.000390503,,
37,437,37,-0.157528,8.764573,-0.001192,-1.192,5,-1.319,0.099677465,-0.039948788,,
38,442,37,-0.155164,8.745398,0.002364,2.364,5,3.556,0.167607141,0.067929676,,
39,447,37,-0.155226,8.74864,-6.20E-05,-0.062,5,-2.426,0.160718927,-0.006888214,,
40,452,37,-0.156415,8.768985,-0.001189,-1.189,5,-1.127,0.120227359,-0.040491568,,
41,457,37,-0.157822,8.780067,-0.001407,-1.407,5,-0.218,0.074410538,-0.045816821,,
42,462,36,-0.153869,8.782552,0.003953,3.953,5,5.36,0.190768222,0.116357684,,
43,467,36,-0.153523,8.817025,0.000346,0.346,5,-3.607,0.195425176,0.004656953,,
44,472,36,-0.151685,8.772862,0.001838,1.838,5,1.492,0.24470242,0.049277245,,
45,476,36,-0.149342,8.754784,0.002343,2.343,4,0.505,0.307651348,0.062948927,,
46,482,36,-0.148433,8.706861,0.000909,0.909,6,-1.434,0.325691807,0.01804046,,
47,485,35,-0.143073,8.635132,0.00536,5.36,3,4.451,0.476721053,0.151029246,,
48,492,35,-0.139997,8.578433,0.003076,3.076,7,-2.284,0.554699421,0.077978368,,
49,494,35,-0.132837,8.464641,0.00716,7.16,2,4.084,0.752858439,0.198159017,,
50,498,35,-0.128359,8.386754,0.004478,4.478,4,-2.682,0.864612686,0.111754247,,
51,504,35,-0.122233,8.327467,0.006126,6.126,6,1.648,1.022454305,0.157841619,,
52,508,34,-0.116586,8.188031,0.005647,5.647,4,-0.479,1.161190676,0.138736371,,
53,514,34,-0.109554,8.08107,0.007032,7.032,6,1.385,1.337314956,0.17612428,,
54,517,34,-0.101649,7.980806,0.007905,7.905,3,0.873,1.534345507,0.197030551,,
55,520,34,-0.094074,7.845329,0.007575,7.575,3,-0.33,1.715565142,0.181219635,,
56,522,34,-0.082905,7.626114,0.011169,11.169,2,3.594,1.999168188,0.283603046,,
57,521,33,-0.068925,7.416882,0.01398,13.98,-1,2.811,2.358593142,0.359424954,,
58,520,33,-0.053644,7.191979,0.015281,15.281,-1,1.301,2.746265348,0.387672206,,
59,520,33,-0.039252,6.908817,0.014392,14.392,0,-0.889,3.095637387,0.34937204,,
60,517,33,-0.017798,6.465244,0.021454,21.454,-3,7.062,3.646388266,0.550750878,,
61,518,33,0.003531,6.081008,0.021329,21.329,1,-0.125,4.176866618,0.530478352,,
62,517,32,0.02583,5.646231,0.022299,22.299,-1,0.97,4.720530619,0.543664001,,
63,512,32,0.055541,4.980977,0.029711,29.711,-5,7.412,5.470244701,0.749714081,,
64,515,32,0.081008,4.485933,0.025467,25.467,3,-4.244,6.07014736,0.599902659,,
65,513,32,0.10993,3.915227,0.028922,28.922,-2,3.455,6.755702939,0.685555579,,
66,512,32,0.139882,3.291084,0.029952,29.952,-1,1.03,7.451591851,0.695888912,,
67,515,31,0.171479,2.52944,0.031597,31.597,3,1.645,8.175954095,0.724362244,,
68,513,31,0.202123,1.974293,0.030644,30.644,-2,-0.953,8.849995472,0.674041377,,
69,515,31,0.231167,1.450627,0.029044,29.044,2,-1.6,9.455815608,0.605820136,,
70,515,31,0.260784,0.845094,0.029617,29.617,0,0.573,10.06065114,0.604835532,,
71,517,31,0.287581,0.33451,0.026797,26.797,2,-2.82,10.56274161,0.502090466,,
72,518,30,0.31271,-0.089112,0.025129,25.129,1,-1.668,10.99972936,0.436987752,,
73,520,30,0.334871,-0.462301,0.022161,22.161,2,-2.968,11.33456748,0.334838119,,
74,521,30,0.359456,-0.909755,0.024585,24.585,1,2.424,11.73208045,0.397512976,,
75,522,30,0.380093,-1.255659,0.020637,20.637,1,-3.948,11.99922804,0.267147586,,
76,522,30,0.401218,-1.574954,0.021125,21.125,0,0.488,12.2730012,0.273773159,,
77,519,29,0.424194,-2.042975,0.022976,22.976,-3,1.851,12.59409116,0.321089964,,
78,522,29,0.444151,-2.405797,0.019957,19.957,3,-3.019,12.81497843,0.220887265,,
79,519,29,0.466221,-2.774612,0.02207,22.07,-3,2.113,13.09262907,0.277650647,,
80,519,29,0.488495,-3.25861,0.022274,22.274,0,0.204,13.3680702,0.275441128,,
81,520,29,0.510279,-3.664995,0.021784,21.784,1,-0.49,13.6205481,0.252477894,,
82,520,28,0.52949,-3.989405,0.019211,19.211,0,-2.573,13.78826165,0.167713557,,
83,522,28,0.548071,-4.333264,0.018581,18.581,2,-0.63,13.9320438,0.14378215,,
84,521,28,0.56942,-4.76972,0.021349,21.349,-1,2.768,14.15455249,0.222508686,,
85,524,28,0.585978,-5.060413,0.016558,16.558,3,-4.791,14.22665591,0.072103425,,
86,525,28,0.60335,-5.341565,0.017372,17.372,1,0.814,14.32101624,0.094360323,,
87,528,27,0.618839,-5.681258,0.015489,15.489,3,-1.883,14.35605575,0.035039513,,
88,532,27,0.635627,-5.932087,0.016788,16.788,4,1.299,14.42901408,0.072958327,,
89,533,27,0.650988,-6.160595,0.015361,15.361,1,-1.427,14.45697366,0.027959578,,
90,537,27,0.665168,-6.448021,0.01418,14.18,4,-1.181,14.44866445,-0.00830921,,
91,539,27,0.678126,-6.639821,0.012958,12.958,2,-1.222,14.40394451,-0.044719933,,
92,543,26,0.691057,-6.846078,0.012931,12.931,4,-0.027,14.35975618,-0.044188335,,
93,548,26,0.703566,-7.100146,0.012509,12.509,5,-0.422,14.30423349,-0.055522685,,
94,546,26,0.72671,-7.300489,0.023144,23.144,-2,10.635,14.56942649,0.265192995,,
95,555,26,0.730074,-7.477279,0.003364,3.364,9,-19.78,14.23326369,-0.336162795,,
96,559,26,0.742504,-7.657608,0.01243,12.43,4,9.066,14.17916578,-0.054097911,,
97,561,25,0.754782,-7.830005,0.012278,12.278,2,-0.152,14.12213081,-0.057034973,,
98,567,25,0.769168,-8.055216,0.014386,14.386,6,2.108,14.13004688,0.007916076,,
99,564,25,0.782044,-8.212184,0.012876,12.876,-3,-1.51,14.09242548,-0.037621407,,
100,566,25,0.797515,-8.342313,0.015471,15.471,2,2.595,14.13378271,0.041357236,,
101,567,25,0.811006,-8.473501,0.013491,13.491,1,-1.98,14.11449923,-0.019283481,,
102,567,24,0.82664,-8.665025,0.015634,15.634,0,2.143,14.16008425,0.045585023,,
103,565,24,0.84334,-8.807388,0.0167,16.7,-2,1.066,14.23628173,0.076197472,,
104,567,24,0.859998,-8.947588,0.016658,16.658,2,-0.042,14.30893328,0.072651548,,
105,565,24,0.876973,-9.104569,0.016975,16.975,-2,0.317,14.38891528,0.079982002,,
106,564,24,0.897815,-9.307405,0.020842,20.842,-1,3.867,14.58250782,0.193592542,,
107,564,23,0.91823,-9.487795,0.020415,20.415,0,-0.427,14.75748258,0.174974765,,
108,562,23,0.940884,-9.758805,0.022654,22.654,-2,2.239,14.99437811,0.236895522,,
109,562,23,0.965024,-9.899855,0.02414,24.14,0,1.486,15.26874676,0.274368657,,
110,562,23,0.989875,-10.209497,0.024851,24.851,0,0.711,15.55621436,0.287467597,,
111,561,23,1.017198,-10.43851,0.027323,27.323,-1,2.472,15.90921793,0.353003569,,
112,562,22,1.04439,-10.792464,0.027192,27.192,1,-0.131,16.24770139,0.338483462,,
113,560,22,1.075203,-11.075276,0.030813,30.813,-2,3.621,16.68466035,0.436958958,,
114,561,22,1.103996,-11.329926,0.028793,28.793,1,-2.02,17.04791054,0.36325019,,
115,552,22,1.163169,-11.711391,0.059173,59.173,-9,30.38,18.31166322,1.263752684,,
116,565,22,1.16795,-11.965988,0.004781,4.781,13,-54.392,17.90574333,-0.405919897,,
117,562,21,1.198806,-12.224755,0.030856,30.856,-3,26.075,18.29425103,0.3885077,,
118,561,21,1.228801,-12.491265,0.029995,29.995,-1,-0.861,18.6452735,0.351022469,,
119,572,21,1.261581,-12.836301,0.03278,32.78,11,2.785,19.06931529,0.424041795,,
120,557,21,1.322379,-13.056512,0.060798,60.798,-15,28.018,20.32117583,1.251860541,,
121,570,21,1.326061,-13.253558,0.003682,3.682,13,-57.116,19.82200056,-0.499175275,,
122,567,20,1.354411,-13.432964,0.02835,28.35,-3,24.668,20.07784054,0.255839983,,
123,567,20,1.385483,-13.597588,0.031072,31.072,0,2.722,20.40766532,0.329824784,,
124,577,20,1.413752,-13.762252,0.028269,28.269,10,-2.803,20.64350536,0.23584004,,
125,562,22,1.46965,-13.874808,0.055898,55.898,-15,27.629,21.7011402,1.057634839,,
126,575,22,1.470759,-13.93435,0.001109,1.109,13,-54.789,21.083376,-0.617764206,,
127,574,22,1.497753,-13.987724,0.026994,26.994,-1,25.885,21.26069472,0.17731872,,
128,573,22,1.524756,-13.987864,0.027003,27.003,-1,0.009,21.43296388,0.172269158,,
129,576,22,1.574415,-13.915882,0.049659,49.659,3,22.656,22.27974496,0.846781084,,
130,575,22,1.572349,-13.804955,-0.002066,-2.066,-1,-51.725,21.54937261,-0.730372349,,
131,578,22,1.590774,-13.613194,0.018425,18.425,3,20.491,21.45564143,-0.093731178,,
132,582,22,1.609173,-13.366612,0.018399,18.399,4,-0.026,21.36394219,-0.091699243,,
133,587,23,1.623545,-12.958416,0.014372,14.372,5,-4.027,21.15418392,-0.209758266,,
134,580,23,1.637924,-12.417501,0.014379,14.379,-7,0.007,20.95092841,-0.203255518,,
135,592,23,1.64862,-12.108266,0.010696,10.696,12,-3.683,20.64328055,-0.307647852,,
136,589,23,1.673872,-11.482811,0.025252,25.252,-3,14.556,20.78154214,0.138261583,,
137,597,23,1.663231,-10.917523,-0.010641,-10.641,8,-35.893,19.83886587,-0.942676264,,
138,600,24,1.672731,-10.360763,0.0095,9.5,3,20.141,19.5286999,-0.310165976,,
139,600,24,1.678228,-9.751965,0.005497,5.497,0,-4.003,19.1077489,-0.420950997,,
140,600,24,1.685472,-8.937983,0.007244,7.244,0,1.747,18.75183643,-0.355912467,,
141,589,24,1.707091,-8.319989,0.021619,21.619,-11,14.375,18.83785134,0.086014907,,
142,600,24,1.69619,-7.74626,-0.010901,-10.901,11,-32.52,17.9456858,-0.89216554,,
143,600,25,1.708116,-7.216761,0.011926,11.926,0,22.827,17.76509523,-0.180590574,,
144,600,25,1.720721,-6.723509,0.012605,12.605,0,0.679,17.61029237,-0.154802857,,
145,597,25,1.757783,-6.097474,0.037062,37.062,-3,24.457,18.1938436,0.583551229,,
146,600,25,1.750415,-5.711417,-0.007368,-7.368,3,-44.43,17.42698829,-0.766855308,,
147,598,25,1.771501,-5.401814,0.021086,21.086,-2,28.454,17.53675864,0.109770351,,
