na,nb,MSE_depthrate
1,1,575.5610305456759
1,2,383.24099194252784
1,3,288.6712870824617
1,4,235.98827590592293
1,5,228.16445339838455
1,6,236.50025646703247
2,1,876.2741944379097
2,2,611.8320342168446
2,3,492.0287042541836
2,4,498.68918882797385
2,5,522.4357443291526
2,6,559.6042333507731
3,1,622.7997193282589
3,2,331.4352317018276
3,3,307.3287259958761
3,4,274.11217763213165
3,5,275.3502138850059
3,6,290.2086524107167
4,1,692.1435517480885
4,2,347.25917909987174
4,3,312.2924882695542
4,4,304.5349179271487
4,5,306.7505447864092
4,6,328.3677624541611
5,1,633.9706953271215
5,2,365.6461863138151
5,3,324.39253080323334
5,4,269.33345704050953
5,5,254.35165974190747
5,6,243.69325603023339
6,1,661.6910091295753
6,2,409.601283805189
6,3,373.1094095875289
6,4,326.56327389543185
6,5,311.5166037979482
6,6,290.93809394288354
