na,nb,MSE_depthrate
1,1,170.40762415758036
1,2,190.4835698629113
1,3,170.54603786798566
1,4,177.0700017984222
1,5,206.12207595056694
1,6,181.5934507895177
2,1,195.3850652731004
2,2,222.15427379019926
2,3,197.79774984938445
2,4,186.29585450426123
2,5,196.77741791982785
2,6,179.01472396945965
3,1,285.69572742104333
3,2,291.9185794445153
3,3,260.2071250066157
3,4,237.60370071612877
3,5,230.37295911373877
3,6,232.9973795805649
4,1,187.7596590119616
4,2,190.14922742079062
4,3,184.9187457920146
4,4,190.27927776777034
4,5,195.2614440591575
4,6,184.64044669892445
5,1,260.66499848941345
5,2,208.2049565327492
5,3,231.4422300360544
5,4,266.8638167575181
5,5,236.74489424330335
5,6,171.90975790978965
6,1,228.66480432254087
6,2,213.1814626846147
6,3,229.36906359624678
6,4,260.68343141158533
6,5,234.6922352148565
6,6,175.25703480526158
