na,nb,MSE_pitch
1,1,9.261780794957158
1,2,9.142454134309407
1,3,9.741332159820464
1,4,9.277150555378975
1,5,9.083238181344555
1,6,8.805339094594238
2,1,23.92190457002624
2,2,5.485491736602924
2,3,5.180269083020061
2,4,3.4527504330428664
2,5,3.8636093338950106
2,6,3.8895147047090353
3,1,9.64271727007206
3,2,5.558296156688635
3,3,4.236649180426769
3,4,3.1099765212288433
3,5,2.4664795708260816
3,6,2.6116203330610563
4,1,5.351632761252951
4,2,3.1606891945169737
4,3,3.146236376517836
4,4,3.077008170416222
4,5,2.567799354816869
4,6,2.431230012665287
5,1,15.198547250807989
5,2,9.590681356675695
5,3,2.713371849910086
5,4,2.85353139951946
5,5,2.3069194079441897
5,6,2.2394241139740165
6,1,4.257016739316016
6,2,3.087832096058215
6,3,3.275823353727475
6,4,2.303539152213203
6,5,2.4593968689685624
6,6,2.4030127297614534
